Point_id,Cluster_id
0,1731
1,701
2,3763
3,4088
4,4500
5,327
6,3763
7,6153
8,1457
9,4088
10,1842
11,3763
12,701
13,1842
14,3763
15,3763
16,3763
17,1731
18,1731
19,2745
20,1842
21,327
22,1731
23,2745
24,4500
25,1731
26,4500
27,1731
28,4500
29,4500
30,1842
31,853
32,6153
33,2745
34,6153
35,327
36,4088
37,6153
38,1731
39,1731
40,2745
41,853
42,853
43,1731
44,1457
45,3763
46,4500
47,3763
48,1731
49,701
50,2448
51,1731
52,327
53,1731
54,4088
55,4088
56,3763
57,4500
58,327
59,3763
60,3763
61,3763
62,2745
63,1457
64,2448
65,6153
66,2448
67,1731
68,2448
69,2745
70,6153
71,6153
72,2745
73,1842
74,1731
75,1731
76,4500
77,2745
78,1731
79,1731
80,6153
81,4088
82,853
83,2745
84,853
85,1731
86,1457
87,1731
88,4500
89,3763
90,1457
91,1731
92,6153
93,4500
94,3763
95,4500
96,4500
97,3763
98,1731
99,6153
100,2745
101,853
102,701
103,2745
104,2448
105,1731
106,2745
107,853
108,6153
109,853
110,1731
111,1457
112,853
113,1731
114,853
115,853
116,4088
117,4088
118,1842
119,1457
120,4088
121,6153
122,1457
123,701
124,1842
125,701
126,6153
127,853
128,701
129,853
130,1731
131,4088
132,1731
133,853
134,1731
135,1731
136,701
137,701
138,4088
139,701
140,1731
141,853
142,853
143,1842
144,853
145,6153
146,4088
147,1457
148,701
149,1731
150,701
151,701
152,2448
153,2448
154,1731
155,2448
156,1731
157,1457
158,1731
159,853
160,327
161,1731
162,1731
163,853
164,1457
165,2745
166,6153
167,701
168,3763
169,701
170,2745
171,1731
172,1457
173,701
174,2448
175,1457
176,4500
177,1457
178,2745
179,6153
180,1457
181,1731
182,853
183,853
184,853
185,4088
186,1731
187,1731
188,1731
189,1731
190,1731
191,853
192,1731
193,1731
194,2448
195,1731
196,2448
197,1457
198,1457
199,1731
200,1842
201,2745
202,1731
203,4500
204,3763
205,327
206,6153
207,4088
208,4500
209,1731
210,2448
211,327
212,1731
213,1731
214,1731
215,4500
216,701
217,6153
218,853
219,4500
220,853
221,1457
222,1842
223,2745
224,853
225,853
226,1731
227,1457
228,1457
229,327
230,4500
231,1457
232,4088
233,4500
234,3763
235,1457
236,327
237,1842
238,4500
239,1731
240,1731
241,1731
242,2448
243,4088
244,3763
245,2448
246,4500
247,1731
248,2745
249,327
250,853
251,327
252,1842
253,1842
254,1842
255,1842
256,6153
257,4088
258,2448
259,1731
260,4500
261,6153
262,1457
263,701
264,1457
265,701
266,2745
267,3763
268,2745
269,1731
270,2745
271,1842
272,2745
273,327
274,4500
275,6153
276,4500
277,1731
278,327
279,4088
280,6153
281,2745
282,701
283,1842
284,1457
285,1731
286,1731
287,701
288,853
289,853
290,701
291,4088
292,701
293,6153
294,4088
295,327
296,701
297,2745
298,853
299,853
300,853
301,701
302,701
303,2745
304,1842
305,2745
306,701
307,853
308,3763
309,1842
310,3763
311,1731
312,4088
313,1842
314,6153
315,3763
316,3763
317,1731
318,1731
319,2448
320,327
321,1731
322,1842
323,4500
324,1842
325,2745
326,327
327,327
328,6153
329,1457
330,1457
331,327
332,701
333,4500
334,327
335,701
336,4500
337,1457
338,1731
339,327
340,1731
341,4500
342,1457
343,327
344,2448
345,4500
346,2745
347,2448
348,701
349,327
350,1731
351,1731
352,4088
353,4500
354,6153
355,853
356,1457
357,1731
358,2745
359,6153
360,1842
361,701
362,1457
363,4088
364,1457
365,6153
366,1457
367,6153
368,2745
369,2745
370,2745
371,1731
372,2745
373,701
374,4088
375,327
376,327
377,4500
378,1731
379,4500
380,1731
381,701
382,1731
383,1457
384,327
385,853
386,4088
387,853
388,1731
389,1731
390,1731
391,1457
392,701
393,1731
394,1842
395,2745
396,701
397,4088
398,2448
399,1842
400,4500
401,327
402,1731
403,2448
404,1457
405,2745
406,327
407,1731
408,701
409,6153
410,2448
411,701
412,701
413,1731
414,1457
415,1842
416,327
417,1842
418,1842
419,4088
420,4088
421,327
422,853
423,327
424,3763
425,4088
426,6153
427,327
428,2745
429,4500
430,6153
431,1731
432,1457
433,4500
434,4500
435,6153
436,4500
437,4500
438,3763
439,2745
440,853
441,1731
442,701
443,327
444,6153
445,2448
446,1457
447,1457
448,3763
449,3763
450,1731
451,6153
452,2448
453,6153
